transaction_id,transaction_date,description,amount,currency,account_id
txn-202606-001,2026-06-01,SALARY ACME SOFTWARE,6200.00,PLN,checking-pln
txn-202606-002,2026-06-02,RENT PAYMENT,-2100.00,PLN,checking-pln
txn-202606-003,2026-06-03,BIEDRONKA GDANSK,-86.47,PLN,checking-pln
txn-202606-004,2026-06-03,ZTM GDANSK TICKET,-119.00,PLN,checking-pln
txn-202606-005,2026-06-04,SPOTIFY,-23.99,PLN,checking-pln
txn-202606-006,2026-06-05,LIDL GDANSK,-132.18,PLN,checking-pln
txn-202606-007,2026-06-06,GYM MEMBERSHIP,-119.99,PLN,checking-pln
txn-202606-008,2026-06-07,CAFE OLIWA,-31.50,PLN,checking-pln
txn-202606-009,2026-06-08,FREELANCE PAYMENT,850.00,PLN,checking-pln
txn-202606-010,2026-06-09,PHARMACY,-47.80,PLN,checking-pln
txn-202606-011,2026-06-10,ENERGY BILL,-164.32,PLN,checking-pln
txn-202606-012,2026-06-11,BIEDRONKA GDANSK,-74.26,PLN,checking-pln
txn-202606-013,2026-06-13,CINEMA TICKET,-34.00,PLN,checking-pln
txn-202606-014,2026-06-14,MOBILE PHONE BILL,-45.00,PLN,checking-pln
txn-202606-015,2026-06-16,ALDI GDANSK,-98.63,PLN,checking-pln
txn-202606-016,2026-06-18,RESTAURANT SOPOT,-78.40,PLN,checking-pln
txn-202606-017,2026-06-20,BOOKSTORE,-59.90,PLN,checking-pln
txn-202606-018,2026-06-22,CURRENCY EXCHANGE DEPOSIT,150.00,EUR,checking-eur
txn-202606-019,2026-06-23,HOSTEL RESERVATION,-42.50,EUR,checking-eur
txn-202606-020,2026-06-25,LIDL GDANSK,-107.21,PLN,checking-pln
txn-202606-021,2026-06-27,TRAIN TICKET,-67.00,PLN,checking-pln
txn-202606-022,2026-06-29,INTERNET BILL,-69.00,PLN,checking-pln
